ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YDR255C,RMD5,49168,421,0,,0.2
YDR256C,CTA1,58555,515,523,0.02236,0.3
YDR257C,SET7,57288,494,2838,0,0.5
YDR258C,HSP78,91335,811,2547,0.01216,0.6
YDR259C,YAP6,43597,383,1134,0.033007,0.3
YDR260C,SWM1,19356,170,0,,0.4
YDR261C,EXG2,63508,562,1484,0.063013,0.9
YDR262W,,30633,272,2583,0.008351,0.6
YDR263C,DIN7,49034,430,0,,0.2
YDR264C,AKR1,85839,764,3808,0.007702,1
YDR265W,PEX10,39099,337,3102,0,0.9
YDR266C,,72755,639,1530,0.031507,0.5
YDR267C,CIA1,37274,330,4736,0.007146,0.7
YDR268W,MSW1,43015,379,565,0,0.3
YDR269C,,11505,107,0,,0.3
YDR270W,CCC2,109828,1004,819,0.000891,0.3
YDR271C,,13616,123,0,,0.5
YDR272W,GLO2,31326,274,8004,0.002326,1.2
YDR273W,DON1,40162,365,0,,0.3
YDR274C,,13927,123,0,,0.9
YDR275W,BSC2,26581,235,774,0.009495,0.8
YDR276C,PMP3,6138,55,55008,0.009002,15.9
YDR277C,MTH1,49060,433,3266,0.024755,0.3
YDR278C,,11913,105,,,
YDR279W,RNH202,39483,350,1963,0.02236,0.4
YDR280W,RRP45,33962,305,3822,0.000891,1.1
YDR281C,PHM6,11887,104,2840,0.000891,0.8
YDR282C,,47172,414,4682,0.000891,0.4
YDR283C,GCN2,190192,1659,472,0.023902,0.5
YDR284C,DPP1,33514,289,2552,0.000891,1.1
YDR285W,ZIP1,100034,875,328,0.000891,0.2
YDR286C,,13421,114,0,,0.6
YDR287W,,32092,292,0,,0.3
YDR288W,NSE3,33964,303,2131,0.031507,0.3
YDR289C,RTT103,46488,409,3301,0.00806,0.4
YDR290W,,13049,109,,,
YDR291W,,123548,1077,1651,0.043322,0.4
YDR292C,SRP101,69278,621,1678,0.014146,1
YDR293C,SSD1,139953,1250,4099,0.038508,0.5
YDR294C,DPL1,65565,589,5850,0.021661,0.6
YDR295C,HDA2,77059,674,1259,0.016906,0.3
YDR296W,MHR1,26895,226,2522,0.000489,0.7
YDR297W,SUR2,40734,349,27906,0,3
YDR298C,ATP5,22814,212,21278,0,3.9
YDR299W,BFR2,61203,534,11266,0.034657,0.9
YDR300C,PRO1,47162,428,5930,0,0.9
YDR301W,CFT1,153404,1357,552,0,0.5
YDR302W,GPI11,25262,219,5431,0.002273,0.8
YDR303C,RSC3,101719,885,3241,0.027726,0.3
YDR304C,CPR5,25327,225,1418,0.000891,4.3
YDR305C,HNT2,24784,217,1615,0.005501,0.6
YDR306C,,54436,478,0,,0.6
YDR307W,,77569,662,1663,0.023902,0.4
YDR308C,SRB7,16071,140,1168,0,1
YDR309C,GIC2,42852,383,902,0.053319,0.8
YDR310C,SUM1,118200,1062,1216,0.057762,0.5
YDR311W,TFB1,72894,642,2523,0.019804,0.4
YDR312W,SSF2,51856,453,1143,0.013863,0.9
YDR313C,PIB1,32675,286,406,0.000891,0.2
YDR314C,RAD34,82042,692,66,0.063013,0.3
YDR315C,IPK1,32918,281,0,,0.3
YDR316W,OMS1,55589,471,423,0.028881,0.5
YDR317W,HIM1,47336,414,0,,0.2
YDR318W,MCM21,42971,368,799,0.006665,0.4
YDR319C,,32011,274,1324,,0.4
YDR320C,SWA2,75019,668,1343,0.031507,0.2
YDR320C-A,DAD4,8155,72,1212,0.000891,
YDR320W-B,,5329,45,,,
YDR321W,ASP1,41395,381,0,,2
YDR322C-A,TIM11,10875,96,2432,0.000891,
YDR322W,MRPL35,42825,367,4389,0.000575,0.6
YDR323C,PEP7,59443,515,1569,0.231049,0.3
YDR324C,UTP4,87801,776,3612,0.015068,0.9
YDR325W,YCG1,117850,1035,1615,0.030137,0.6
YDR326C,YSP2,160577,1438,1472,,0.4
YDR327W,,12303,108,1812,0.000891,0.5
YDR328C,SKP1,22330,194,4725,0.007702,3.3
YDR329C,PEX3,50675,441,1037,0.346574,0.6
YDR330W,UBX5,56736,500,3456,0.016906,0.2
YDR331W,GPI8,47402,411,2078,0.033007,0.5
YDR332W,,78546,689,145,0.015068,0.3
YDR333C,,83425,723,1216,0.036481,0.5
YDR334W,SWR1,174529,1514,1849,0.000891,0.4
YDR335W,MSN5,142116,1224,2400,0,0.7
YDR336W,,35614,314,0,,0.4
YDR337W,MRPS28,33057,286,5850,0.013863,0.5
YDR338C,,77845,695,164,0.038508,0.3
YDR339C,FCF1,21610,189,5299,0.000891,1.5
YDR340W,,11544,100,0,,0.7
YDR341C,,69524,607,14783,0.000891,3.6
YDR342C,HXT7,62735,570,6176,0.008557,7.6
YDR343C,HXT6,62705,570,42645,0.015403,7.9
YDR344C,,17500,147,1142,0.000891,0.3
YDR345C,HXT3,62557,567,37809,0,7.1
YDR346C,SVF1,54367,481,26816,0.012603,1.6
YDR347W,MRP1,36728,321,2618,0.015753,0.9
YDR348C,,54995,499,1247,0.02236,0.4
YDR349C,YPS7,64498,596,359,0.000891,0.7
YDR350C,ATP22,71015,611,1108,0.000891,0.3
YDR351W,SBE2,98971,864,568,0.000891,0.5
YDR352W,,35179,317,4232,0.000891,0.4
YDR353W,TRR1,34238,319,110376,0.000891,7.6
YDR354C-A,,5087,47,,,
YDR354W,TRP4,41374,380,1425,0.028881,0.6
YDR355C,,10627,100,,,
YDR356W,SPC110,111781,944,235,0.019254,0.5
YDR357C,,13957,122,495,0.031507,0.8
YDR358W,GGA1,62319,557,735,0.000891,0.4
YDR359C,VID21,112501,982,887,0.000891,0.2
YDR360W,OPI7,14014,128,0,,0.4
YDR361C,BCP1,32661,283,4164,0.004101,1.1
YDR362C,TFC6,74708,672,945,0.063013,0.3
YDR363W,ESC2,52541,456,1584,0.000891,0.4
YDR363W-A,SEM1,10386,89,8567,0.018734,
YDR364C,CDC40,52047,455,1365,0.018241,0.5
YDR365C,ESF1,72409,628,2824,0.346574,1.5
YDR366C,,15540,132,0,,1.8
YDR367W,,25484,221,2974,0.004007,1
YDR368W,YPR1,34755,312,8029,0.009367,1.9
YDR369C,XRS2,96364,854,301,0.000891,0.2
YDR370C,,50492,442,874,0.012836,0.5
YDR371C-A,,3689,34,,,
YDR371W,CTS2,59118,511,2561,0.01118,0.3
YDR372C,VPS74,39286,345,2256,0.005458,0.9
YDR373W,FRQ1,22011,190,3907,0.020387,1.5
YDR374C,,36052,306,0,,0.7
YDR374W-A,,10244,89,,,
YDR375C,BCS1,51107,456,1668,0.000891,0.3
YDR376W,ARH1,56237,493,1344,0.008887,0.5
YDR377W,ATP17,11312,101,7480,0.013863,1.7
YDR378C,LSM6,9398,86,1910,0.000891,1.4
YDR379C-A,,9352,79,723,0.063013,
YDR379W,RGA2,113290,1009,422,0,0.3
YDR380W,ARO10,71384,635,3039,0.023105,2.7
YDR381C-A,,12714,114,,,
YDR381W,YRA1,24955,226,62131,0.000891,2.4
YDR382W,RPP2B,11050,110,316278,0,49.5
YDR383C,NKP1,26976,238,0,,0.4
YDR384C,ATO3,30028,275,1991,0.019254,1.4
YDR385W,EFT2,93288,842,156290,0,15.3
YDR386W,MUS81,72308,632,252,0.034657,0.3
YDR387C,,61508,555,0,,0.3
YDR388W,RVS167,52774,482,8932,0.016906,4
YDR389W,SAC7,73629,654,1232,0.043322,0.7
YDR390C,UBA2,71258,636,8454,0.014748,0.7
YDR391C,,26274,232,2962,0.017329,0.8
YDR392W,SPT3,38800,337,1434,0.002107,0.5
YDR393W,SHE9,53570,456,235,0.000891,0.3
YDR394W,RPT3,47893,428,6761,0.000891,0.9
YDR395W,SXM1,108403,944,9938,0.003536,0.9
YDR396W,,18197,166,2054,0.000891,0.6
YDR397C,NCB2,16650,146,3011,0.007001,1
YDR398W,UTP5,72001,643,16477,0.000891,1.2
YDR399W,HPT1,25191,221,18647,0,3.8
YDR400W,URH1,37960,340,1121,0.006539,0.7
YDR401W,,20861,187,0,,0.6
YDR402C,DIT2,56071,489,0,,0.8
YDR403W,DIT1,61390,536,0,,0.2
YDR404C,RPB7,19058,171,6375,0.019804,2.7
YDR405W,MRP20,30566,263,1623,0.000125,0.4
YDR406W,PDR15,172254,1529,3527,0.000891,0.4
YDR406W-A,,10117,81,,,
YDR407C,TRS120,147660,1289,295,0,0.5
YDR408C,ADE8,23540,214,4213,0.002003,1.4
YDR409W,SIZ1,100795,904,125,0.099021,0.3
YDR410C,STE14,27887,239,1500,0.002784,1.3
YDR411C,DFM1,38130,341,1229,0.008453,0.7
YDR412W,,27974,235,1966,0.008453,1.2
YDR413C,,21327,191,0,,1
YDR414C,ERD1,43216,362,1628,0.000891,0.5
YDR415C,,42484,374,0,,0.5
YDR416W,SYF1,100228,859,1822,0.02666,0.5
YDR417C,,13086,123,0,,5.6
YDR418W,RPL12B,17822,165,57461,0,20.6
YDR419W,RAD30,71514,632,1563,0.011363,0.3
YDR420W,HKR1,188945,1802,1875,0.000891,0.5
YDR421W,ARO80,108204,950,268,0.173287,0.3
YDR422C,SIP1,91070,815,523,0.030137,0.3
YDR423C,CAD1,45751,409,523,0.02666,0.4
YDR424C,DYN2,10441,92,1100,0.069315,1.5
YDR425W,SNX41,70740,625,1510,0.012836,0.3
YDR426C,,14613,125,0,,0.3
YDR427W,RPN9,45782,393,11704,0.005975,2.1
YDR428C,,29991,261,0,,0.4
YDR429C,TIF35,30501,274,61000,0.000891,3.9
YDR430C,CYM1,112179,989,3454,0.000891,0.3
YDR431W,,12389,103,0,,0.7
YDR432W,NPL3,45407,414,60116,0.000891,1.6
YDR433W,,15602,146,0,,7.1
YDR434W,GPI17,60814,534,4360,0.008351,0.8
YDR435C,PPM1,37694,328,0,,0.6
YDR436W,PPZ2,78491,710,411,0.01612,0.2
YDR437W,GPI19,16089,140,632,0,0.3
YDR438W,THI74,41384,370,0,,0.2
YDR439W,LRS4,39354,347,1168,0.018241,0.3
YDR440W,DOT1,66201,582,1746,0.011002,0.3
YDR441C,APT2,19986,181,948,0.024755,1.2
YDR442W,,14457,130,,,
YDR443C,SSN2,159999,1420,254,0.000891,0.5
YDR444W,,78108,687,1211,0.173287,0.2
YDR445C,,15389,135,0,,0.4
YDR446W,ECM11,34113,302,,,
YDR447C,RPS17B,15803,136,44252,0,17.2
YDR448W,ADA2,50569,434,1094,0.011748,0.4
YDR449C,UTP6,52418,440,4924,0.020387,1.1
YDR450W,RPS18A,17037,146,186149,0,19
YDR451C,YHP1,39598,353,1650,,0.5
YDR452W,PPN1,78344,674,268,0.077016,0.9
YDR453C,TSA2,21615,196,2855,0.004652,0.4
YDR454C,GUK1,20637,187,41164,0,9.8
YDR455C,,10691,102,0,,0.7
YDR456W,NHX1,70147,633,981,0.004715,0.4
YDR457W,TOM1,374180,3268,1026,0.015068,0.7
YDR458C,,76376,663,2572,0.024755,0.4
YDR459C,PFA5,42922,374,0,,0.6
YDR460W,TFB3,38128,321,2319,0.008453,0.5
YDR461C-A,,9103,80,,,
YDR461W,MFA1,3926,36,25999,0.007453,10.4
YDR462W,MRPL28,17342,147,3755,0.086643,0.6
YDR463W,STP1,58087,519,1150,0.030137,0.6
YDR464C-A,,6861,62,,,
YDR464W,SPP41,161596,1435,2664,0.000891,0.8
YDR465C,RMT2,47469,412,1836,0.010046,1.4
YDR466W,PKH3,100475,898,0,,0.4
YDR467C,,12180,108,0,,0.4
YDR468C,TLG1,25817,224,0,0,1.1
YDR469W,SDC1,19446,175,787,0.003872,0.5
YDR470C,UGO1,57470,502,0,,0.4
YDR471W,RPL27B,15505,136,187703,0,13.9
YDR472W,TRS31,31721,283,4382,0.000891,0.6
YDR473C,PRP3,55870,469,363,0.000891,0.4
YDR475C,JIP4,98690,876,0,,0.3
YDR476C,,25265,224,1565,0.013863,1.2
YDR477W,SNF1,72045,633,1964,0.020387,0.7
YDR478W,SNM1,22541,198,145,0.009242,0.5
YDR479C,PEX29,63542,554,4234,0.01333,0.5
YDR480W,DIG2,36879,323,1100,0.017329,0.4
YDR481C,PHO8,63004,566,1285,0.231049,1
YDR482C,CWC21,15762,135,677,0.346574,0.6
YDR483W,KRE2,51386,442,6756,0.346574,3.3
YDR484W,VPS52,74332,641,1732,0.023902,0.3
YDR485C,VPS72,90579,795,301,0.000374,0.3
YDR486C,VPS60,25861,229,1742,0.003629,0.8
YDR487C,RIB3,22567,208,8482,0.034657,1.4
YDR488C,PAC11,60074,533,632,0.012603,0.1
YDR489W,SLD5,33947,294,0,,0.3
YDR490C,PKH1,86252,766,1608,0.053319,0.4
YDR491C,,18825,163,0,,0.4
YDR492W,IZH1,36491,316,4731,0.014146,1.4
YDR493W,,13927,123,235,0.003301,0.5
YDR494W,RSM28,41216,361,0,,0.6
YDR495C,VPS3,116921,1011,1903,0.012836,0.3
YDR496C,PUF6,75105,656,13670,0.000891,1.5
YDR497C,ITR1,63569,584,9841,0.011748,5.1
YDR498C,SEC20,43882,383,4125,0.017773,0.7
YDR499W,LCD1,86424,747,3584,0.049511,0.3
YDR500C,RPL37B,9868,88,26032,0,24.9
YDR501W,PLM2,58202,521,0,,0.2
YDR502C,SAM2,42256,384,32266,0.000891,3.2
YDR503C,LPP1,31586,274,406,0.000891,0.4
YDR504C,SPG3,15580,127,5002,0.000891,0.9
YDR505C,PSP1,95348,841,584,0.033007,0.4
YDR506C,,69281,608,495,0.069315,0.2
YDR507C,GIN4,129857,1142,1276,0.000891,0.7
YDR508C,GNP1,73597,663,21070,0.000891,2.6
YDR509W,,14111,115,0,,0.9
YDR510C-A,,4417,38,,,
YDR510W,SMT3,11597,101,8390,0.099021,2.9
YDR511W,ACN9,15783,133,164,0.025672,0.6
YDR512C,EMI1,21071,187,2969,0.000891,1
YDR513W,GRX2,15861,143,13579,0,2.5
YDR514C,,55489,483,105,0.019804,0.4
YDR515W,SLF1,50943,447,1105,0.028881,0.2
YDR516C,EMI2,55920,500,5074,0.02236,0.9
YDR517W,GRH1,41119,372,3139,0.011363,1
YDR518W,EUG1,58982,517,0,,0.5
YDR519W,FPR2,14487,135,2594,0,2.2
YDR520C,,88647,772,787,0.043322,0.3
YDR521W,,12690,111,0,,0.1
YDR522C,SPS2,55939,502,200,0.000891,0.1
YDR523C,SPS1,55704,490,1013,0.000891,0.3
YDR524C,AGE1,54494,482,891,0.000891,0.4
YDR524C-A,,4661,39,,,
YDR524C-B,,6324,66,,,
YDR524W-C,,3534,29,,,
YDR525W,API2,12526,109,0,,0.4
YDR525W-A,SNA2,9180,79,15847,0.003094,
YDR526C,,16915,156,0,,0.5
YDR527W,RBA50,50106,439,1070,0.011363,0.7
YDR528W,HLR1,47578,423,411,0.012603,0.4
YDR529C,QCR7,14565,127,9169,0,3.3
YDR530C,APA2,36841,325,1488,0.019254,0.4
YDR531W,,40903,367,3014,0.000891,1.3
YDR532C,,44674,385,317,0.00478,0.3
YDR533C,HSP31,25670,237,301,0,2.2
YDR534C,FIT1,52490,528,0,,0.3
YDR535C,,18556,166,,,
YDR536W,STL1,63531,569,0,,0.2
YDR537C,,21658,201,0,,0.3
YDR538W,PAD1,26733,242,1467,0.025672,0.6
YDR539W,,56163,503,727,0.016504,0.4
YDR540C,,21518,179,145,0.115525,0.3
YDR541C,,38586,344,0,,0.2
YDR542W,,12834,120,0,,1.3
YDR543C,,11349,99,0,,0.2
YDR544C,,15912,142,0,,0.1
YDR545C-A,,18437,159,,,
YDR545W,YRF1-1,203779,1796,0,,2.2
YEL001C,,24992,225,8155,0.002925,1.9
YEL002C,WBP1,49391,430,11047,0.000891,1.2
YEL003W,GIM4,12994,111,1240,0,2
YEL004W,YEA4,39266,342,0,,0.4
YEL005C,VAB2,31364,282,1931,,0.6
YEL006W,YEA6,36960,335,1369,0.069315,0.6
YEL007W,,72533,666,2204,0.086643,1.1
YEL008C-A,,3449,30,,,
YEL008W,,14022,126,1285,,0.4
YEL009C,GCN4,31310,281,4200,0.138629,14.2
YEL009C-A,,15939,135,,,
YEL010W,,13523,116,0,,0.6
YEL011W,GLC3,81115,704,1030,0.000891,0.5
YEL012W,UBC8,24633,218,1049,0.007967,0.6
YEL013W,VAC8,63207,578,5612,0.00673,1.1
YEL014C,,12209,101,1670,0.000891,0.6
YEL015W,EDC3,61340,551,1954,0.011363,0.7
YEL016C,NPP2,57354,493,1527,,0.4
YEL017C-A,PMP2,4848,43,63312,0,8.9
YEL017W,GTT3,38234,337,1088,0.009002,0.6
YEL018C-A,,19365,177,,,
YEL018W,EAF5,31644,279,787,0.008557,0.6
YEL019C,MMS21,30354,267,1567,0.005728,0.5
YEL020C,,61288,560,1374,0.000891,0.4
YEL020C-B,,7490,65,,,
YEL020W-A,TIM9,10202,87,,,
YEL021W,URA3,29239,267,65156,0.000891,0.9
YEL022W,GEA2,165666,1459,4893,0.043322,0.8
YEL023C,,78319,682,0,,0.5
YEL024W,RIP1,23365,215,1506,0.000891,1.5
YEL025C,,136068,1188,4532,0.000891,0.5
YEL026W,SNU13,13569,126,62666,0.000891,8.1
YEL027W,CUP5,16350,160,17145,0.000891,16.8
YEL028W,,17360,153,0,,0.5
YEL029C,BUD16,35559,312,1547,,0.4
YEL030C-A,,11238,104,,,
YEL030W,ECM10,70084,644,1020,0.000891,0.5
YEL031W,SPF1,135267,1215,8847,0,1.7
YEL032C-A,,6690,53,,,
YEL032W,MCM3,107516,971,33093,0.02236,0.8
YEL033W,,16094,139,0,,3.8
YEL034C-A,,22705,200,,,
YEL034W,HYP2,17114,157,231173,0,15.3
YEL035C,UTR5,19335,166,0,,0.5
YEL036C,ANP1,58182,500,1682,0.000891,1.5
YEL037C,RAD23,42366,398,4098,0,1.2
YEL038W,UTR4,25187,227,1785,0.000891,1.8
YEL039C,CYC7,12532,113,1100,0.002937,0.8
YEL040W,UTR2,49906,467,8618,0.031507,5.2
YEL041W,YEF1,55873,495,252,0.009902,0.5
YEL042W,GDA1,56821,518,4153,0.346574,0.8
YEL043W,,106132,956,478,0.030137,0.7
YEL044W,IES6,18533,166,1445,0,1.3
YEL045C,,16468,141,1273,0.000891,0.4
YEL046C,GLY1,42815,387,69657,0.000507,2.9
YEL047C,,50844,470,5761,0.003448,0.8
YEL048C,,17354,152,4089,0.001142,0.4
YEL049W,PAU2,12819,120,0,,0.6
YEL050C,RML2,43786,393,1325,0.008774,0.8
YEL050W-A,,7510,63,,,
YEL051W,VMA8,29194,256,7716,0.000891,1.7
YEL052W,AFG1,58264,509,2200,0.010664,0.7
YEL053C,MAK10,84302,733,1657,0.000891,0.5
YEL053W-A,,12413,115,,,
YEL054C,RPL12A,17822,165,64501,0,14.9
YEL055C,POL5,115893,1022,2967,0.021661,0.8
YEL056W,HAT2,45060,401,0,,0.8
YEL057C,,27228,233,0,,0.3
YEL058W,PCM1,62066,557,6614,0.01612,1.7
YEL059C-A,SOM1,8415,74,301,0.000891,0.5
YEL059W,,11341,102,1237,0.000891,0.4
YEL060C,PRB1,69621,635,1741,0.231049,0.9
YEL061C,CIN8,113310,1000,200,0.027726,0.8
YEL062W,NPR2,69858,615,268,0.049511,0.4
YEL063C,CAN1,65785,590,4930,0.023902,0.8
YEL064C,AVT2,53323,480,0,,0.5
YEL065W,SIT1,70561,628,1859,0.000891,1.4
YEL066W,HPA3,20698,179,1093,0.231049,0.7
YEL067C,,21721,195,1669,0.000891,0.4
YEL068C,,12910,110,799,0.000891,0.6
YEL069C,HXT13,62734,564,0,,0.3
YEL070W,DSF1,56470,502,105,0.003054,0.2
YEL071W,DLD3,55225,496,13378,0.012378,1.9
YEL072W,RMD6,26815,231,0,,0.2
YEL073C,,11960,107,1501,0.000891,0.4
YEL074W,,13062,112,0,,0.2
YEL075C,,13994,122,0,,0.2
YEL075W-A,,22796,203,,,
YEL076C,,24465,216,0,,0.2
YEL076C-A,,24170,216,0,,0.2
YEL077C,,143091,1277,0,,1.9
YEL077W-A,,18618,160,,,
YER001W,MNN1,88529,762,1320,0.003224,0.7
YER002W,NOP16,26901,231,3414,0.018734,1.8
YER003C,PMI40,48188,429,10241,0.023902,1.4
YER004W,,25086,231,1585,0.000891,1.7
YER005W,YND1,71851,630,378,0.019804,0.6
YER006C-A,,12380,105,,,
YER006W,NUG1,57708,520,6518,0.000939,1.6
YER007C-A,TMA20,20277,181,4508,0.009367,1.8
YER007W,PAC2,59257,518,1802,0.031507,0.2
YER008C,SEC3,154694,1336,1125,0.023902,0.6
YER009W,NTF2,14453,125,22397,0.000891,6.8
YER010C,,25563,234,710,0.033007,0.7
YER011W,TIR1,24906,254,1137,0.346574,6.7
YER012W,PRE1,22516,198,15857,0.000613,3.6
YER013W,PRP22,130010,1145,2480,0.015403,0.4
YER014C-A,BUD25,18006,153,,,
YER014W,HEM14,59702,539,4492,0.00459,0.5
YER015W,FAA2,83437,744,2657,0.02666,0.1
YER016W,BIM1,38361,344,1944,0.012378,1
YER017C,AFG3,84543,761,2403,0.015403,0.5
YER018C,SPC25,25244,221,1961,0.004151,0.2
YER019C-A,SBH2,9606,88,2555,0.034657,2.5
YER019W,ISC1,53940,477,1822,0.011951,0.6
YER020W,GPA2,50447,449,2955,0.043322,1.1
YER021W,RPN3,60392,523,14000,0.030137,1.9
YER022W,SRB4,78475,687,1997,0.017773,0.7
YER023C-A,,7439,70,,,
YER023W,PRO3,30132,286,15519,0,2.7
YER024W,YAT2,103333,923,268,0.008351,0.5
YER025W,GCD11,57865,527,33095,0.000891,2.7
YER026C,CHO1,30804,276,5216,,1.5
YER027C,GAL83,46648,417,2514,0.020387,0.5
YER028C,MIG3,43119,394,753,0,0.2
YER029C,SMB1,22379,196,1086,0,1.2
YER030W,CHZ1,17462,153,1522,0,2.1
YER031C,YPT31,24469,223,5443,0.009002,2.5
YER032W,FIR1,98811,876,1166,,0.3
YER033C,ZRG8,119349,1076,1738,0.000891,0.3
YER034W,,21190,185,1472,0.011552,0.4
YER035W,EDC2,16071,145,1615,0.01333,1.3
YER036C,ARB1,68377,610,23718,0.013078,3.3
YER037W,PHM8,37719,321,164,0.019254,0.4
YER038C,KRE29,53771,464,839,,0.2
YER038W-A,,14348,126,,,
YER039C,HVG1,27687,249,0,,0.2
YER039C-A,,7986,72,83,0.000891,
YER040W,GLN3,79382,730,495,0.231049,0.2
YER041W,YEN1,87389,759,110,0.038508,0.2
YER042W,MXR1,21141,184,2389,0.00478,1.6
YER043C,SAH1,49125,449,91680,0.000891,12
YER044C,ERG28,17135,148,527,0.231049,1.6
YER044C-A,MEI4,48214,408,0,,0.3
YER045C,ACA1,54592,489,0,,0.5
YER046W,SPO73,16598,143,0,,0.6
YER046W-A,,12722,109,,,
YER047C,SAP1,100331,897,252,0.020387,0.2
YER048C,CAJ1,44855,391,6295,0.000891,1.8
YER048W-A,ISD11,11266,94,4595,0.000891,
YER049W,TPA1,74041,644,4405,0.019804,1.6
YER050C,RSM18,15835,138,1018,0.010502,1.8
YER051W,JHD1,56530,492,658,0.018241,0.1
YER052C,HOM3,58109,527,24573,0.008887,1.1
YER053C,PIC2,33528,300,6563,0.000891,1.9
YER053C-A,,4459,37,3537,0,
YER054C,GIP2,62318,548,105,0.017329,0.2
YER055C,HIS1,32266,297,13664,0.000891,5.2
YER056C,FCY2,58201,533,19436,0.023105,5.5
YER056C-A,RPL34A,13639,121,30390,0,6.5
YER057C,HMF1,13906,129,565,0,2.8
YER058W,PET117,12281,107,0,,0.9
YER059W,PCL6,47007,420,873,0.01333,0.5
YER060W,FCY21,58050,528,1650,0.000891,0.3
YER060W-A,FCY22,57327,530,0,,1.2
YER061C,CEM1,47640,442,1391,0,0.3
YER062C,HOR2,27814,250,3601,0,2.1
YER063W,THO1,24137,218,5530,0.011002,1.3
YER064C,,56638,505,1456,0.346574,0.8
YER065C,ICL1,62408,557,12261,0.000891,0.2
YER066C-A,,19854,166,0,,0.4
YER066W,,20686,185,0,,0.5
YER067C-A,,12901,107,,,
YER067W,,18989,161,5921,0,2.2
YER068C-A,,15999,143,,,
YER068W,MOT2,65354,587,3181,0.027726,0.4
YER069W,"ARG5,6",94868,863,994,0.000891,0.6
YER070W,RNR1,99560,888,298342,0.009002,1.3
YER071C,,14498,126,672,0.010345,0.6
YER072W,VTC1,14371,129,15472,0.000891,3.9
YER073W,ALD5,56620,520,12798,0.01083,1
YER074W,RPS24A,15329,135,33831,0,18.3
YER074W-A,YOS1,9436,85,,,
YER075C,PTP3,105250,928,645,0.018241,0.1
YER076C,,33466,302,0,,0.3
YER076W-A,,13260,115,,,
YER077C,,79547,688,509,0.016906,0.2
YER078C,,57989,511,4270,0.024755,0.3
YER078W-A,,6263,54,,,
YER079C-A,,12599,112,,,
YER079W,,23197,210,1330,0.016504,0.8
YER080W,,72414,627,4734,0.017329,1
YER081W,SER3,51193,469,3565,0.00361,0.4
YER082C,UTP7,62316,554,2630,0.012836,0.7
YER083C,GET2,31493,285,2407,0.000891,1.1
YER084W,,14313,128,586,0.040773,0.3
YER084W-A,,20288,170,,,
YER085C,,20484,173,0,,0.3
YER086W,ILV1,63831,576,6635,0.015753,1.2
YER087C-A,,20007,183,182,0.012603,1.5
YER087C-B,SBH1,8711,82,,0.000891,
YER087W,,65880,576,401,0.231049,0.5
YER088C,DOT6,73048,670,2151,0.038508,1.1
YER088C-A,,11926,107,,,
YER088W-B,,5208,48,,,
YER089C,PTC2,50388,464,6626,0.006931,0.8
YER090C-A,,3423,29,,,
YER090W,TRP2,56767,507,9511,0.017773,1
YER091C,MET6,85859,767,106890,0.018241,3.2
YER091C-A,,8146,73,,,
YER092W,IES5,14312,125,1602,0.009242,0.7
YER093C,TSC11,164367,1430,0,,0.3
YER093C-A,,15753,137,1541,0.000588,0.7
YER094C,PUP3,22605,205,39476,0.000891,9.3
YER095W,RAD51,42963,400,6544,0.011552,0.7
YER096W,SHC1,56578,512,1150,0.000891,0.1
YER097W,,12728,109,0,,0.2
YER098W,UBP9,86243,754,83,0.077016,0.2
YER099C,PRS2,34765,318,4198,0,1
YER100W,UBC6,28383,250,1115,0.02666,1
YER101C,AST2,48370,430,787,0.036481,0.2
YER102W,RPS8B,22489,200,43903,0,44.1
YER103W,SSA4,69650,642,8494,0,1.4
YER104W,RTT105,24413,208,217,0.231049,0.4
YER105C,NUP157,156647,1391,3020,0.021004,0.5
YER106W,MAM1,35752,302,0,,0.2
YER107C,GLE2,40522,365,1518,0.000891,0.8
YER107W-A,,11675,106,,,
YER109C,FLO8,86648,798,0,,0.5
YER110C,KAP123,122600,1113,23676,0.005332,1.6
YER111C,SWI4,123805,1093,495,0.004916,0.4
YER112W,LSM4,21276,187,2448,0.003194,0.9
YER113C,,81545,706,1537,0.000891,0.4
YER114C,BOI2,115687,1040,1218,0.031507,0.3
YER115C,SPR6,21512,191,0,,0.5
YER116C,SLX8,30764,274,797,0.000891,0.2
YER117W,RPL23B,14473,137,96199,0,27.9
YER118C,SHO1,41125,367,2038,0.007296,0.8
YER119C,AVT6,48840,448,0,,0.3
YER119C-A,,14098,123,0,,1.4
YER120W,SCS2,26925,244,4354,0.001253,2.9
YER121W,,12941,114,0,,0.4
YER122C,GLO3,55093,493,3782,0.012378,1.7
YER123W,YCK3,60260,524,1192,0.027726,0.4
YER124C,DSE1,63998,573,2589,0.346574,1
YER125W,RSP5,91816,809,2061,0.000891,0.6
YER126C,NSA2,29722,261,32389,0.009902,1.7
YER127W,LCP5,40794,357,1202,0.02236,0.9
YER128W,,23488,203,1874,0.005924,0.3
YER129W,SAK1,126871,1142,632,0.002888,0.3
YER130C,,50319,443,0,,0.6
YER131W,RPS26B,13447,119,243361,0,11.7
YER132C,PMD1,195381,1753,1023,0.231049,0.3
YER133W,GLC7,35907,312,18508,0.011363,2.5
YER133W-A,,13357,113,,,
YER134C,,20441,178,3738,0,1.3
YER135C,,15421,130,0,,0.1
