ORF,5_UTR
YJR059W,68
YJR060W,167
YJR063W,23
YJR064W,36
YJR065C,24
YJR070C,42
YJR073C,30
YJR077C,47
YJR080C,26
YJR082C,140
YJR085C,39
YJR086W,25
YJR093C,85
YJR094C,230
YJR094W-A,20
YJR095W,144
YJR096W,55
YJR099W,100
YJR100C,139
YJR101W,96
YJR102C,208
YJR104C,43
YJR105W,30
YJR107W,160
YJR109C,63
YJR112W,19
YJR112W-A,37
YJR113C,55
YJR116W,182
YJR117W,54
YJR121W,193
YJR122W,63
YJR123W,36
YJR125C,43
YJR130C,43
YJR131W,246
YJR134C,54
YJR135W-A,24
YJR136C,10
YJR139C,108
YJR144W,5
YJR145C,33
YJR147W,43
YJR148W,89
YKL001C,48
YKL002W,72
YKL003C,26
YKL004W,351
YKL005C,103
YKL006C-A,45
YKL006W,19
YKL007W,27
YKL008C,183
YKL009W,69
YKL011C,3
YKL012W,102
YKL013C,37
YKL015W,84
YKL016C,71
YKL018C-A,53
YKL019W,160
YKL023C-A,37
YKL023W,32
YKL026C,113
YKL028W,24
YKL032C,99
YKL033W-A,76
YKL035W,77
YKL039W,124
YKL040C,49
YKL041W,94
YKL042W,34
YKL043W,271
YKL045W,73
YKL049C,40
YKL051W,104
YKL053C-A,86
YKL053W,419
YKL054C,101
YKL056C,39
YKL058W,31
YKL060C,24
YKL063C,152
YKL064W,380
YKL065C,38
YKL065W-A,40
YKL067W,70
YKL068W,120
YKL068W-A,33
YKL071W,834
YKL074C,24
YKL075C,88
YKL076C,180
YKL077W,94
YKL080W,127
YKL081W,25
YKL084W,49
YKL085W,91
YKL086W,80
YKL087C,98
YKL091C,42
YKL093W,70
YKL094W,18
YKL095W,154
YKL096C-B,410
YKL096W,47
YKL096W-A,32
YKL098W,40
YKL100C,31
YKL103C,61
YKL104C,202
YKL105C,199
YKL107W,47
YKL108W,25
YKL109W,279
YKL112W,82
YKL117W,53
YKL119C,54
YKL120W,77
YKL122C,214
YKL124W,107
YKL125W,114
YKL129C,70
YKL133C,18
YKL134C,52
YKL137W,52
YKL138C,84
YKL138C-A,22
YKL141W,27
YKL142W,68
YKL145W,54
YKL146W,19
YKL148C,149
YKL149C,24
YKL150W,64
YKL151C,32
YKL152C,23
YKL154W,90
YKL156W,18
YKL159C,347
YKL160W,18
YKL161C,281
YKL162C-A,45
YKL163W,822
YKL167C,13
YKL170W,52
YKL174C,90
YKL175W,16
YKL178C,77
YKL180W,21
YKL181W,176
YKL184W,220
YKL185W,353
YKL186C,372
YKL189W,123
YKL190W,38
YKL192C,34
YKL193C,26
YKL194C,26
YKL195W,28
YKL196C,47
YKL205W,46
YKL206C,22
YKL208W,108
YKL211C,20
YKL216W,852
YKL217W,51
YKL218C,35
YKR001C,68
YKR002W,220
YKR004C,394
YKR005C,32
YKR006C,15
YKR007W,29
YKR009C,49
YKR011C,92
YKR013W,50
YKR014C,143
YKR015C,59
YKR016W,40
YKR017C,144
YKR018C,23
YKR019C,82
YKR022C,87
YKR026C,71
YKR027W,78
YKR030W,55
YKR035W-A,17
YKR039W,68
YKR046C,9
YKR048C,19
YKR049C,27
YKR051W,95
YKR052C,130
YKR055W,33
YKR057W,45
YKR059W,46
YKR062W,46
YKR064W,20
YKR065C,22
YKR066C,30
YKR068C,48
YKR070W,52
YKR071C,43
YKR072C,191
YKR074W,39
YKR075C,43
YKR076W,24
YKR077W,99
YKR080W,62
YKR081C,22
YKR085C,9
YKR087C,22
YKR088C,13
YKR091W,84
YKR092C,315
YKR094C,20
YKR095W-A,23
YKR097W,147
YKR100C,353
YLL002W,38
YLL005C,36
YLL006W,32
YLL009C,31
YLL010C,208
YLL011W,21
YLL012W,53
YLL013C,295
YLL014W,18
YLL018C,46
YLL018C-A,35
YLL023C,25
YLL024C,30
YLL025W,352
YLL026W,56
YLL027W,210
YLL029W,103
YLL030C,359
YLL036C,27
YLL039C,97
YLL041C,59
YLL045C,23
YLL046C,66
YLL049W,18
YLL050C,25
YLL052C,27
YLL055W,36
YLR003C,18
YLR005W,40
YLR008C,84
YLR009W,145
YLR010C,11
YLR011W,63
YLR012C,58
YLR013W,119
YLR016C,42
YLR018C,42
YLR019W,298
YLR020C,28
YLR023C,182
YLR025W,76
YLR026C,115
YLR027C,28
YLR028C,144
YLR029C,23
YLR030W,87
YLR034C,165
YLR036C,32
YLR037C,268
YLR038C,50
YLR040C,56
YLR043C,46
YLR044C,30
YLR045C,102
YLR048W,42
YLR049C,191
YLR050C,33
YLR051C,21
YLR052W,6
YLR054C,75
YLR056W,67
YLR058C,39
YLR060W,34
YLR061W,24
YLR063W,26
YLR064W,46
YLR065C,34
YLR066W,23
YLR068W,39
YLR070C,23
YLR073C,126
YLR074C,34
YLR075W,21
YLR077W,18
YLR078C,62
YLR079W,40
YLR082C,35
YLR084C,96
YLR089C,311
YLR090W,14
YLR093C,54
YLR094C,64
YLR097C,58
YLR099C,62
YLR099W-A,38
YLR100W,15
YLR102C,17
YLR104W,42
YLR105C,10
YLR109W,37
YLR110C,43
YLR112W,43
YLR113W,142
YLR118C,10
YLR120C,275
YLR127C,43
YLR128W,25
YLR130C,78
YLR133W,36
YLR136C,51
YLR139C,222
YLR140W,404
YLR142W,27
YLR147C,24
YLR148W,9
YLR149C,70
YLR150W,26
YLR151C,9
YLR153C,31
YLR154C,66
YLR163C,18
YLR164W,24
YLR167W,57
YLR170C,37
YLR172C,10
YLR173W,38
YLR174W,60
YLR175W,29
YLR177W,46
YLR178C,17
YLR179C,66
YLR180W,56
YLR182W,82
YLR185W,21
YLR186W,31
YLR187W,228
YLR189C,55
YLR190W,458
YLR192C,100
YLR193C,27
YLR200W,18
YLR201C,47
YLR204W,30
YLR205C,102
YLR206W,393
YLR208W,60
YLR209C,25
YLR210W,27
YLR213C,41
YLR214W,49
YLR215C,50
YLR216C,19
YLR220W,153
YLR221C,45
YLR224W,109
YLR225C,45
YLR227C,100
YLR229C,209
YLR231C,62
YLR233C,46
YLR245C,41
YLR249W,40
YLR250W,44
YLR251W,130
YLR255C,28
YLR257W,204
YLR258W,190
YLR259C,34
YLR260W,120
YLR262C,49
YLR262C-A,38
YLR263W,96
YLR264W,32
YLR265C,3
YLR267W,70
YLR268W,80
YLR270W,84
YLR271W,342
YLR273C,203
YLR274W,28
YLR275W,55
YLR283W,6
YLR285W,27
YLR286C,231
YLR287C-A,20
YLR288C,55
YLR290C,28
YLR291C,32
YLR292C,14
YLR293C,50
YLR295C,44
YLR297W,106
YLR298C,18
YLR299W,428
YLR300W,181
YLR303W,47
YLR304C,39
YLR307C-A,66
YLR307W,77
YLR308W,57
YLR312C,100
YLR314C,70
YLR319C,52
YLR324W,67
YLR325C,21
YLR326W,136
YLR327C,88
YLR328W,87
YLR329W,47
YLR330W,32
YLR332W,422
YLR333C,75
YLR335W,82
YLR340W,60
YLR341W,47
YLR343W,63
YLR344W,17
YLR345W,48
YLR346C,158
YLR347C,174
YLR348C,110
YLR350W,55
YLR351C,22
YLR354C,60
YLR355C,79
YLR356W,31
YLR359W,37
YLR361C-A,26
YLR363C,43
YLR363W-A,21
YLR364W,30
YLR367W,43
YLR368W,6
YLR370C,40
YLR371W,185
YLR372W,200
YLR375W,37
YLR377C,41
YLR378C,205
YLR380W,92
YLR387C,70
YLR388W,30
YLR390W-A,54
YLR395C,41
YLR396C,22
YLR404W,29
YLR405W,23
YLR406C,42
YLR407W,244
YLR411W,50
YLR412W,23
YLR413W,50
YLR414C,100
YLR415C,135
YLR417W,87
YLR420W,75
YLR421C,30
YLR423C,36
YLR432W,116
YLR437C,38
YLR438C-A,64
YLR438W,34
YLR439W,50
YLR440C,29
YLR441C,24
YLR443W,133
YLR445W,34
YLR446W,65
YLR447C,36
YLR448W,31
YLR449W,21
YLR450W,159
YLR451W,115
YLR453C,457
YLR457C,38
YLR459W,178
YML001W,93
YML003W,361
YML004C,18
YML005W,470
YML007C-A,11
YML008C,34
YML012W,64
YML013W,29
YML016C,263
YML017W,84
YML018C,82
YML019W,40
YML022W,22
YML024W,18
YML025C,52
YML026C,19
YML028W,29
YML029W,65
YML030W,20
YML031W,21
YML035C,156
YML041C,26
YML042W,29
YML048W,42
YML051W,76
YML052W,39
YML053C,83
YML055W,36
YML056C,94
YML057W,94
YML058W,42
YML058W-A,52
YML063W,26
YML066C,38
YML067C,11
YML070W,63
YML072C,183
YML073C,18
YML074C,36
YML079W,8
YML081C-A,44
YML085C,32
YML086C,155
YML087C,41
YML089C,177
YML091C,313
YML092C,21
YML094W,27
YML095C,43
YML098W,9
YML100W,52
YML101C,51
YML105C,20
YML106W,231
YML107C,13
YML108W,49
YML110C,22
YML115C,60
YML119W,20
YML120C,69
YML121W,60
YML123C,39
YML124C,23
YML125C,23
YML128C,54
YML129C,18
YML130C,33
YML131W,37
YMR001C,69
YMR002W,87
YMR004W,60
YMR005W,71
YMR008C,116
YMR009W,34
YMR010W,218
YMR011W,38
YMR012W,128
YMR013C,63
YMR015C,45
YMR016C,452
YMR017W,123
YMR022W,29
YMR025W,7
YMR026C,122
YMR027W,49
YMR028W,20
YMR030W,96
YMR031C,86
YMR036C,47
YMR038C,15
YMR039C,123
YMR040W,69
YMR041C,108
YMR042W,38
YMR046W-A,533
YMR048W,25
YMR054W,184
YMR055C,39
YMR056C,47
YMR058W,55
YMR059W,174
YMR060C,21
YMR062C,47
YMR067C,27
YMR070W,210
YMR071C,58
YMR072W,22
YMR073C,45
YMR074C,12
YMR075W,879
YMR077C,48
YMR079W,35
YMR080C,91
YMR081C,138
YMR082C,663
YMR083W,244
YMR084W,28
YMR087W,25
YMR090W,264
YMR091C,53
YMR092C,29
YMR093W,50
YMR095C,12
YMR096W,50
YMR097C,40
YMR099C,6
YMR101C,34
YMR104C,73
YMR105C,59
YMR107W,29
YMR108W,191
YMR110C,9
YMR113W,138
YMR114C,25
YMR115W,44
YMR116C,30
YMR119W,156
YMR120C,54
YMR121C,24
YMR122W-A,44
YMR123W,28
YMR125W,75
YMR126C,189
YMR127C,96
YMR130W,119
YMR132C,486
YMR134W,90
YMR139W,166
YMR140W,52
YMR142C,15
YMR143W,33
YMR145C,127
YMR146C,38
YMR147W,34
YMR148W,251
YMR149W,75
YMR150C,56
YMR152W,27
YMR153W,67
YMR154C,21
YMR156C,12
YMR157C,19
YMR158W,7
YMR161W,49
YMR163C,137
YMR164C,121
YMR168C,20
YMR169C,124
YMR170C,26
YMR171C,196
YMR173W,54
YMR174C,34
YMR175W,21
YMR177W,137
YMR178W,35
YMR180C,41
YMR181C,178
YMR182C,113
YMR182W-A,278
YMR183C,58
YMR184W,48
YMR186W,36
YMR187C,104
YMR188C,48
YMR189W,114
YMR191W,13
YMR193W,7
YMR194C-B,4
YMR194W,17
YMR195W,92
YMR197C,33
YMR199W,522
YMR200W,94
YMR202W,25
YMR203W,20
YMR204C,72
YMR205C,40
YMR206W,145
YMR208W,51
YMR210W,23
YMR213W,50
YMR214W,43
YMR215W,24
YMR217W,59
YMR220W,68
YMR221C,29
YMR222C,30
YMR225C,21
YMR226C,32
YMR227C,65
YMR230W,47
YMR233W,16
YMR234W,73
YMR235C,29
YMR236W,20
YMR237W,89
YMR238W,134
YMR239C,50
YMR241W,206
YMR242C,22
YMR243C,111
YMR244C-A,54
YMR246W,217
YMR250W,43
YMR251W-A,41
YMR252C,63
YMR253C,39
YMR255W,58
YMR256C,23
YMR257C,397
YMR258C,53
YMR260C,25
YMR261C,83
YMR264W,49
YMR267W,112
YMR269W,26
YMR271C,11
YMR272C,39
YMR274C,9
YMR275C,45
YMR276W,22
YMR277W,119
YMR279C,164
YMR281W,64
YMR282C,91
YMR286W,22
YMR288W,6
YMR289W,23
YMR290C,174
YMR291W,74
YMR292W,30
YMR293C,38
YMR294W,1
YMR295C,54
YMR296C,208
YMR297W,72
YMR298W,22
YMR299C,51
YMR300C,123
YMR303C,55
YMR304C-A,163
YMR306W,59
YMR307W,72
YMR309C,78
YMR311C,38
YMR312W,33
YMR314W,43
YMR315W,66
YMR316W,109
YMR318C,117
YMR319C,76
YNL001W,30
YNL003C,43
YNL005C,67
YNL006W,59
YNL007C,141
YNL009W,29
YNL010W,29
YNL011C,25
YNL012W,27
YNL015W,42
YNL016W,114
YNL018C,82
YNL019C,206
YNL024C-A,61
YNL025C,55
YNL026W,18
YNL030W,30
YNL031C,16
YNL032W,131
YNL036W,51
YNL037C,105
YNL043C,126
YNL044W,71
YNL048W,10
YNL049C,14
YNL051W,200
YNL052W,34
YNL055C,39
YNL056W,28
YNL063W,11
YNL064C,430
YNL066W,226
YNL067W,36
YNL069C,15
YNL070W,53
YNL071W,31
YNL073W,4
YNL074C,60
YNL075W,8
YNL076W,258
YNL077W,230
YNL078W,33
YNL079C,40
YNL080C,172
YNL081C,75
YNL082W,47
YNL083W,12
YNL084C,62
YNL085W,318
YNL086W,73
YNL088W,60
YNL092W,49
YNL096C,50
YNL097C,77
YNL097W-A,305
YNL098C,236
YNL099C,33
YNL100W,30
YNL101W,178
YNL104C,125
YNL110C,17
YNL111C,31
YNL113W,8
YNL116W,61
YNL117W,54
YNL121C,30
YNL122C,37
YNL124W,39
YNL125C,161
YNL127W,105
YNL128W,62
YNL130C,204
YNL130C-A,686
YNL131W,51
YNL134C,66
YNL135C,17
YNL137C,88
YNL138W,36
YNL138W-A,67
YNL141W,70
YNL145W,86
YNL146W,113
YNL147W,52
YNL149C,33
YNL151C,67
YNL153C,22
YNL154C,166
YNL155W,115
YNL156C,186
YNL157W,19
YNL159C,24
YNL160W,55
YNL162W,14
YNL165W,77
YNL168C,21
YNL169C,98
YNL173C,56
YNL177C,49
YNL178W,18
YNL180C,174
YNL185C,97
YNL186W,171
YNL187W,207
YNL188W,47
YNL189W,194
YNL190W,236
YNL191W,54
YNL193W,24
YNL194C,73
YNL196C,37
YNL199C,102
YNL200C,100
YNL204C,15
YNL206C,8
YNL208W,19
YNL209W,23
YNL211C,65
YNL212W,59
YNL213C,102
YNL214W,19
YNL217W,80
YNL218W,235
YNL219C,134
YNL220W,62
YNL222W,46
YNL223W,34
YNL225C,32
YNL227C,44
YNL229C,212
YNL231C,144
YNL232W,41
YNL233W,176
YNL234W,52
YNL237W,47
YNL239W,35
YNL241C,113
YNL244C,33
YNL245C,49
YNL246W,17
YNL249C,172
YNL251C,286
YNL252C,10
YNL253W,30
YNL255C,27
YNL256W,85
YNL259C,29
YNL263C,143
YNL264C,2
YNL265C,29
YNL268W,243
YNL274C,100
YNL276C,398
YNL277W,110
YNL280C,69
YNL281W,56
YNL282W,24
YNL288W,126
YNL293W,26
YNL294C,166
YNL295W,139
YNL298W,178
YNL301C,237
YNL302C,21
YNL305C,31
YNL306W,29
YNL307C,139
YNL308C,37
YNL312W,39
YNL314W,17
YNL317W,5
YNL318C,86
YNL320W,57
YNL321W,18
YNL322C,16
YNL323W,48
YNL326C,32
YNL330C,39
YNL331C,10
YNL334C,92
YNL335W,169
YNL336W,23
YNR001C,100
YNR002C,40
YNR006W,19
YNR007C,53
YNR010W,16
YNR014W,51
YNR018W,59
YNR019W,42
YNR022C,25
YNR024W,16
YNR026C,38
YNR028W,44
YNR032C-A,4
YNR032W,123
YNR034W,100
YNR034W-A,72
YNR035C,33
YNR036C,15
YNR037C,31
YNR039C,47
YNR040W,5
YNR043W,24
YNR046W,42
YNR050C,39
YNR051C,742
YNR052C,57
YNR053C,27
YNR057C,15
YNR061C,86
YNR074C,446
YNR075W,528
YOL001W,396
YOL002C,7
YOL005C,37
YOL011W,747
YOL012C,84
YOL013C,144
YOL014W,491
YOL015W,64
YOL016C,25
YOL018C,65
YOL020W,158
YOL022C,26
YOL024W,17
YOL025W,58
YOL026C,16
YOL027C,250
YOL030W,55
YOL031C,184
YOL032W,63
YOL036W,378
YOL038W,34
YOL039W,53
YOL040C,37
YOL042W,67
YOL043C,83
YOL044W,50
YOL047C,12
YOL048C,66
YOL049W,45
YOL051W,177
YOL052C,117
YOL052C-A,33
YOL054W,102
YOL055C,47
YOL056W,92
YOL058W,72
YOL061W,33
YOL064C,11
YOL067C,50
YOL071W,5
YOL072W,46
YOL073C,12
YOL076W,25
YOL077W-A,34
YOL082W,313
YOL083W,114
YOL084W,200
YOL086C,28
YOL086W-A,43
YOL088C,22
YOL090W,38
YOL091W,44
YOL092W,41
YOL094C,44
YOL095C,31
YOL096C,29
YOL097C,11
YOL101C,17
YOL102C,10
YOL104C,16
YOL105C,286
YOL108C,14
YOL109W,56
YOL110W,36
YOL111C,72
YOL113W,171
YOL117W,898
YOL119C,30
YOL120C,22
YOL121C,21
YOL123W,379
YOL125W,306
YOL127W,21
YOL128C,323
YOL129W,20
YOL131W,18
YOL132W,22
YOL133W,18
YOL134C,561
YOL135C,27
YOL136C,222
YOL139C,72
YOL142W,114
YOL143C,45
YOL146W,13
YOL147C,22
YOL149W,18
YOL151W,10
YOL152W,897
YOL153C,62
YOL154W,108
YOL155W-A,192
YOL159C,17
YOL162W,69
YOR007C,5
YOR016C,99
YOR019W,144
YOR020C,38
YOR020W-A,49
YOR021C,26
YOR023C,31
YOR025W,42
YOR027W,50
YOR028C,84
YOR029W,884
YOR031W,33
YOR035C,10
YOR036W,20
YOR039W,162
YOR042W,52
YOR044W,270
YOR045W,20
YOR046C,32
YOR047C,139
YOR049C,186
YOR052C,103
YOR053W,167
YOR054C,168
YOR056C,73
YOR057W,70
YOR058C,128
YOR059C,45
YOR060C,27
YOR062C,43
YOR063W,22
YOR064C,34
YOR065W,257
YOR071C,436
YOR073W,71
YOR075W,32
YOR077W,38
YOR078W,53
YOR079C,35
YOR083W,86
YOR085W,60
YOR087W,72
YOR089C,49
YOR090C,81
YOR094W,94
YOR095C,207
YOR096W,28
YOR097C,44
YOR099W,73
YOR100C,39
YOR101W,82
YOR103C,43
YOR104W,189
YOR107W,180
YOR108W,64
YOR111W,30
YOR114W,194
YOR115C,42
YOR118W,184
YOR120W,59
YOR122C,17
YOR123C,47
YOR126C,23
YOR128C,39
YOR130C,5
YOR131C,47
YOR133W,46
YOR136W,97
YOR137C,372
YOR142W,222
YOR145C,26
YOR147W,25
YOR148C,30
YOR149C,19
YOR150W,26
YOR152C,164
YOR155C,21
YOR156C,152
YOR157C,86
YOR158W,43
YOR159C,44
YOR161C,92
YOR163W,46
YOR164C,30
YOR167C,12
YOR168W,28
YOR171C,68
YOR172W,44
YOR176W,44
YOR177C,44
YOR178C,351
YOR179C,15
YOR180C,67
YOR182C,21
YOR184W,45
YOR185C,58
YOR186W,562
YOR187W,69
YOR189W,34
YOR190W,64
YOR193W,71
YOR194C,58
YOR196C,33
YOR198C,179
YOR201C,18
YOR202W,10
YOR204W,19
YOR209C,151
YOR210W,36
YOR212W,39
YOR213C,8
YOR214C,124
YOR215C,41
YOR219C,56
YOR220W,7
YOR221C,102
YOR222W,346
YOR224C,37
YOR228C,203
YOR230W,51
YOR231W,141
YOR232W,107
YOR233W,212
YOR234C,18
YOR237W,136
YOR238W,196
YOR239W,68
YOR242C,160
YOR244W,52
YOR245C,29
YOR249C,44
YOR251C,29
YOR252W,29
YOR253W,19
YOR254C,34
YOR255W,24
YOR257W,34
YOR261C,116
YOR265W,32
YOR266W,104
YOR271C,40
YOR272W,50
YOR273C,607
YOR274W,254
YOR276W,60
YOR278W,16
YOR279C,111
YOR280C,24
YOR283W,69
YOR285W,20
YOR286W,23
YOR288C,63
YOR289W,4
YOR292C,2
YOR293W,44
YOR294W,46
YOR296W,93
YOR297C,27
YOR298C-A,65
YOR298W,70
YOR301W,18
YOR303W,230
YOR305W,63
YOR310C,28
YOR311C,47
YOR312C,27
YOR313C,64
YOR316C,89
YOR317W,34
YOR320C,104
YOR322C,214
YOR323C,35
YOR324C,157
YOR327C,117
YOR332W,31
YOR338W,39
YOR339C,25
YOR343C,189
YOR344C,132
YOR346W,163
YOR347C,33
YOR348C,234
YOR350C,36
YOR351C,36
YOR352W,57
YOR354C,22
YOR355W,170
YOR356W,27
YOR357C,18
YOR358W,36
YOR360C,222
YOR362C,35
YOR367W,25
YOR368W,4
YOR369C,68
YOR371C,466
YOR372C,70
YOR374W,48
YOR375C,109
YOR376W-A,475
YOR382W,28
YOR383C,61
YOR385W,330
YOR386W,25
YOR387C,597
YPL002C,51
YPL003W,12
YPL004C,61
YPL005W,33
YPL006W,583
YPL008W,246
YPL010W,65
YPL011C,34
YPL013C,19
YPL015C,63
YPL016W,404
YPL017C,17
YPL020C,111
YPL021W,151
YPL024W,64
YPL027W,65
YPL028W,54
YPL031C,31
YPL033C,3
YPL034W,334
YPL036W,556
YPL037C,31
YPL038W,230
YPL039W,54
YPL046C,30
YPL047W,96
YPL048W,78
YPL053C,70
YPL054W,111
YPL057C,173
YPL059W,60
YPL061W,47
YPL063W,126
YPL066W,53
YPL069C,32
YPL072W,193
YPL078C,39
YPL079W,26
YPL084W,26
YPL087W,110
YPL090C,29
YPL092W,144
YPL094C,20
YPL096C-A,46
YPL096W,25
YPL098C,29
YPL099C,26
YPL101W,23
YPL103C,33
YPL106C,45
YPL107W,74
YPL111W,46
YPL112C,83
YPL117C,99
YPL118W,86
YPL119C,63
YPL120W,16
YPL121C,25
YPL123C,60
YPL124W,57
YPL125W,146
YPL127C,35
YPL128C,300
YPL129W,47
YPL130W,48
YPL131W,19
YPL132W,153
YPL133C,121
YPL134C,29
YPL135W,61
YPL137C,136
YPL138C,36
YPL139C,43
YPL143W,26
YPL144W,153
YPL145C,198
YPL147W,13
YPL148C,167
YPL149W,52
YPL152W,66
YPL154C,268
YPL156C,60
YPL158C,70
YPL159C,103
YPL163C,186
YPL164C,63
YPL166W,41
YPL167C,28
YPL168W,146
YPL169C,36
YPL170W,98
YPL175W,36
YPL177C,94
YPL178W,48
YPL179W,169
YPL181W,161
YPL183W-A,89
YPL184C,662
YPL186C,43
YPL187W,45
YPL188W,73
YPL189C-A,91
YPL192C,223
YPL196W,25
YPL197C,609
YPL198W,29
YPL199C,15
YPL200W,17
YPL203W,162
YPL204W,184
YPL206C,24
YPL207W,89
YPL208W,14
YPL209C,69
YPL211W,42
YPL214C,101
YPL215W,31
YPL217C,44
YPL218W,62
YPL220W,12
YPL221W,246
YPL222C-A,565
YPL223C,49
YPL224C,191
YPL225W,22
YPL227C,138
YPL229W,263
YPL230W,79
YPL232W,175
YPL234C,53
YPL235W,113
YPL236C,71
YPL237W,49
YPL239W,84
YPL240C,56
YPL243W,123
YPL244C,22
YPL246C,45
YPL247C,51
YPL249C-A,25
YPL250C,67
YPL252C,31
YPL253C,49
YPL255W,26
YPL259C,10
YPL260W,107
YPL262W,182
YPL263C,22
YPL265W,108
YPL267W,15
YPL271W,21
YPL273W,100
YPL274W,68
YPR001W,51
YPR002C-A,383
YPR002W,10
YPR003C,64
YPR004C,48
YPR007C,48
YPR009W,120
YPR013C,578
YPR014C,656
YPR016C,95
YPR017C,39
YPR020W,49
YPR022C,938
YPR025C,22
YPR027C,87
YPR028W,37
YPR035W,117
YPR036W,56
YPR036W-A,75
YPR037C,59
YPR040W,12
YPR041W,91
YPR043W,20
YPR049C,78
YPR052C,28
YPR054W,22
YPR058W,40
YPR061C,26
YPR062W,29
YPR063C,54
YPR065W,66
YPR066W,7
YPR067W,46
YPR069C,24
YPR071W,12
YPR072W,97
YPR073C,62
YPR074C,110
YPR075C,68
YPR078C,97
YPR079W,89
YPR080W,31
YPR082C,21
YPR084W,55
YPR085C,64
YPR091C,43
YPR094W,12
YPR098C,44
YPR099C,179
YPR100W,29
YPR101W,29
YPR102C,29
YPR103W,29
YPR106W,56
YPR107C,89
YPR109W,94
YPR110C,14
YPR113W,21
YPR118W,11
YPR119W,680
YPR120C,230
YPR124W,183
YPR125W,96
YPR127W,45
YPR129W,26
YPR131C,15
YPR132W,24
YPR133C,85
YPR133W-A,33
YPR134W,59
YPR139C,1
YPR140W,100
YPR141C,158
YPR143W,38
YPR145C-A,24
YPR148C,37
YPR149W,178
YPR150W,96
YPR151C,96
YPR153W,58
YPR154W,44
YPR156C,270
YPR158W,72
YPR159W,300
YPR160W,162
YPR163C,94
YPR164W,402
YPR165W,197
YPR167C,38
YPR169W,33
YPR170W-B,12
YPR172W,30
YPR173C,32
YPR174C,21
YPR176C,10
YPR178W,39
YPR180W,21
YPR182W,57
YPR183W,25
YPR184W,63
YPR187W,8
YPR188C,4
YPR191W,60
YPR192W,29
YPR198W,19
YPR199C,10
YPR201W,751
